1,5922,70
2,3573,69
3,1457,58
4,2474,56
5,383,35
6,306,34
7,607,37
8,1756,42
9,193,18
10,195,19
11,117,19
12,202,26
13,57,14
14,107,16
15,104,14
16,1165,31
17,23,10
18,54,12
19,26,10
20,117,10
21,11,6
22,15,5
23,22,6
24,124,14
25,13,6
26,8,5
27,17,4
28,128,14
29,4,3
30,13,5
31,17,3
32,69,13
33,7,4
34,4,2
35,2,1
36,29,4
37,2,2
38,4,3
39,4,3
40,17,7
41,7,2
42,2,2
43,2,2
44,11,6
45,1,1
46,1,1
47,4,2
48,19,8
49,8,2
50,3,3
51,1,1
52,4,3
53,2,2
54,2,2
55,9,5
56,96,8
57,1,1
58,3,2
59,1,1
60,6,2
62,14,3
64,8,4
65,1,1
66,2,1
68,2,1
70,1,1
72,3,2
73,1,1
74,1,1
75,2,1
76,1,1
77,3,1
78,4,2
79,1,1
80,7,5
83,2,2
84,3,3
87,2,1
89,2,2
90,3,2
91,1,1
92,1,1
94,1,1
96,4,3
100,4,2
102,1,1
104,2,1
108,3,3
110,1,1
112,1,1
113,1,1
116,1,1
119,1,1
120,4,1
124,10,2
126,1,1
129,1,1
130,7,2
132,1,1
133,1,1
134,1,1
137,1,1
139,2,2
141,1,1
144,1,1
149,1,1
156,2,1
157,1,1
158,1,1
159,13,1
160,1,1
161,1,1
163,2,1
167,1,1
168,1,1
169,1,1
172,1,1
173,1,1
175,2,1
176,1,1
177,1,1
179,2,2
180,4,1
186,2,2
192,4,3
194,2,2
195,1,1
196,2,2
197,1,1
200,1,1
204,1,1
206,1,1
209,1,1
210,1,1
212,1,1
221,1,1
222,1,1
223,1,1
228,1,1
229,1,1
234,1,1
238,3,3
239,1,1
247,1,1
248,3,2
252,1,1
256,1,1
263,1,1
264,1,1
265,1,1
278,1,1
280,1,1
287,1,1
290,1,1
295,1,1
296,1,1
298,1,1
302,1,1
303,1,1
310,1,1
312,1,1
314,1,1
320,2,1
322,1,1
344,1,1
349,1,1
360,2,2
361,1,1
367,1,1
400,1,1
405,1,1
411,1,1
415,1,1
416,1,1
442,1,1
446,1,1
453,1,1
462,1,1
497,2,2
499,2,2
500,17,4
